"iter","time","est_name","n_fe","dgp_name","n_iters","n_obs"
3,0.0159831047058105,"fixest::feols",3,"simple",10,10000
4,0.110467672348022,"pyfixest.feols",2,"simple",10,10000
4,0.00249791145324707,"FixedEffectModels.reg",2,"simple",10,10000
4,0.0100078582763672,"lfe::felm",2,"simple",10,10000
4,0.0150132179260254,"fixest::feols",2,"simple",10,10000
4,0.11341404914856,"pyfixest.feols",3,"simple",10,10000
4,0.00406193733215332,"FixedEffectModels.reg",3,"simple",10,10000
4,0.0113871097564697,"lfe::felm",3,"simple",10,10000
4,0.0596773624420166,"fixest::feols",3,"simple",10,10000
5,0.0964655876159668,"pyfixest.feols",2,"simple",10,10000
5,0.00245499610900879,"FixedEffectModels.reg",2,"simple",10,10000
5,0.0173101425170898,"lfe::felm",2,"simple",10,10000
5,0.0560135841369629,"fixest::feols",2,"simple",10,10000
5,0.102901220321655,"pyfixest.feols",3,"simple",10,10000
5,0.00406098365783691,"FixedEffectModels.reg",3,"simple",10,10000
5,0.0116212368011475,"lfe::felm",3,"simple",10,10000
5,0.0152645111083984,"fixest::feols",3,"simple",10,10000
6,0.11061429977417,"pyfixest.feols",2,"simple",10,10000
6,0.00278401374816895,"FixedEffectModels.reg",2,"simple",10,10000
6,0.0101592540740967,"lfe::felm",2,"simple",10,10000
6,0.0571858882904053,"fixest::feols",2,"simple",10,10000
6,0.107264518737793,"pyfixest.feols",3,"simple",10,10000
6,0.0042731761932373,"FixedEffectModels.reg",3,"simple",10,10000
6,0.0109801292419434,"lfe::felm",3,"simple",10,10000
6,0.0189583301544189,"fixest::feols",3,"simple",10,10000
7,0.108602285385132,"pyfixest.feols",2,"simple",10,10000
7,0.00242710113525391,"FixedEffectModels.reg",2,"simple",10,10000
7,0.00976800918579102,"lfe::felm",2,"simple",10,10000
7,0.0148873329162598,"fixest::feols",2,"simple",10,10000
7,0.109550952911377,"pyfixest.feols",3,"simple",10,10000
7,0.00395798683166504,"FixedEffectModels.reg",3,"simple",10,10000
7,0.0110807418823242,"lfe::felm",3,"simple",10,10000
7,0.0179440975189209,"fixest::feols",3,"simple",10,10000
8,0.105509757995605,"pyfixest.feols",2,"simple",10,10000
8,0.00270485877990723,"FixedEffectModels.reg",2,"simple",10,10000
8,0.0100255012512207,"lfe::felm",2,"simple",10,10000
8,0.0560400485992432,"fixest::feols",2,"simple",10,10000
8,0.106034517288208,"pyfixest.feols",3,"simple",10,10000
8,0.00398707389831543,"FixedEffectModels.reg",3,"simple",10,10000
8,0.014995813369751,"lfe::felm",3,"simple",10,10000
8,0.0566236972808838,"fixest::feols",3,"simple",10,10000
9,0.0934844017028809,"pyfixest.feols",2,"simple",10,10000
9,0.00269103050231934,"FixedEffectModels.reg",2,"simple",10,10000
9,0.0103597640991211,"lfe::felm",2,"simple",10,10000
9,0.0595178604125977,"fixest::feols",2,"simple",10,10000
9,0.101808547973633,"pyfixest.feols",3,"simple",10,10000
9,0.00655388832092285,"FixedEffectModels.reg",3,"simple",10,10000
9,0.0108788013458252,"lfe::felm",3,"simple",10,10000
9,0.0141685009002686,"fixest::feols",3,"simple",10,10000
10,0.101945400238037,"pyfixest.feols",2,"simple",10,10000
10,0.00233983993530273,"FixedEffectModels.reg",2,"simple",10,10000
10,0.00960087776184082,"lfe::felm",2,"simple",10,10000
10,0.014209508895874,"fixest::feols",2,"simple",10,10000
10,0.102751016616821,"pyfixest.feols",3,"simple",10,10000
10,0.00380682945251465,"FixedEffectModels.reg",3,"simple",10,10000
10,0.0110464096069336,"lfe::felm",3,"simple",10,10000
10,0.0158793926239014,"fixest::feols",3,"simple",10,10000
11,0.101778268814087,"pyfixest.feols",2,"simple",10,10000
11,0.00231695175170898,"FixedEffectModels.reg",2,"simple",10,10000
11,0.0147674083709717,"lfe::felm",2,"simple",10,10000
11,0.0155937671661377,"fixest::feols",2,"simple",10,10000
11,0.104385614395142,"pyfixest.feols",3,"simple",10,10000
11,0.00380706787109375,"FixedEffectModels.reg",3,"simple",10,10000
11,0.0111820697784424,"lfe::felm",3,"simple",10,10000
11,0.0158557891845703,"fixest::feols",3,"simple",10,10000
2,0.0983433723449707,"pyfixest.feols",2,"difficult",10,10000
2,0.00244021415710449,"FixedEffectModels.reg",2,"difficult",10,10000
2,0.0103757381439209,"lfe::felm",2,"difficult",10,10000
2,0.0571620464324951,"fixest::feols",2,"difficult",10,10000
2,0.108675003051758,"pyfixest.feols",3,"difficult",10,10000
2,0.00496602058410645,"FixedEffectModels.reg",3,"difficult",10,10000
2,0.019495964050293,"lfe::felm",3,"difficult",10,10000
2,0.0662834644317627,"fixest::feols",3,"difficult",10,10000
3,0.0906422138214111,"pyfixest.feols",2,"difficult",10,10000
3,0.00253796577453613,"FixedEffectModels.reg",2,"difficult",10,10000
3,0.00992012023925781,"lfe::felm",2,"difficult",10,10000
3,0.0142002105712891,"fixest::feols",2,"difficult",10,10000
3,0.12303352355957,"pyfixest.feols",3,"difficult",10,10000
3,0.00583004951477051,"FixedEffectModels.reg",3,"difficult",10,10000
3,0.0195693969726562,"lfe::felm",3,"difficult",10,10000
3,0.0198769569396973,"fixest::feols",3,"difficult",10,10000
4,0.102776288986206,"pyfixest.feols",2,"difficult",10,10000
4,0.00244498252868652,"FixedEffectModels.reg",2,"difficult",10,10000
4,0.00997686386108398,"lfe::felm",2,"difficult",10,10000
4,0.0566444396972656,"fixest::feols",2,"difficult",10,10000
4,0.112889051437378,"pyfixest.feols",3,"difficult",10,10000
4,0.0046989917755127,"FixedEffectModels.reg",3,"difficult",10,10000
4,0.0185196399688721,"lfe::felm",3,"difficult",10,10000
4,0.0656661987304688,"fixest::feols",3,"difficult",10,10000
5,0.0891666412353516,"pyfixest.feols",2,"difficult",10,10000
5,0.00244688987731934,"FixedEffectModels.reg",2,"difficult",10,10000
5,0.171617746353149,"lfe::felm",2,"difficult",10,10000
5,0.0144245624542236,"fixest::feols",2,"difficult",10,10000
5,0.120492219924927,"pyfixest.feols",3,"difficult",10,10000
5,0.00552582740783691,"FixedEffectModels.reg",3,"difficult",10,10000
5,0.0146815776824951,"lfe::felm",3,"difficult",10,10000
5,0.0180513858795166,"fixest::feols",3,"difficult",10,10000
6,0.103118896484375,"pyfixest.feols",2,"difficult",10,10000
6,0.00249099731445312,"FixedEffectModels.reg",2,"difficult",10,10000
6,0.0098569393157959,"lfe::felm",2,"difficult",10,10000
6,0.0603723526000977,"fixest::feols",2,"difficult",10,10000
6,0.111433744430542,"pyfixest.feols",3,"difficult",10,10000
6,0.0048830509185791,"FixedEffectModels.reg",3,"difficult",10,10000
6,0.0154182910919189,"lfe::felm",3,"difficult",10,10000
6,0.0621397495269775,"fixest::feols",3,"difficult",10,10000
