"iter","time","est_name","n_fe","dgp_name","n_iters","n_obs"
11,0.0120975971221924,"alpaca logit",2,"difficult",10,1000
11,0.0152599811553955,"fixest logit",2,"difficult",10,1000
11,0.00909090042114258,"GLFixedEffectModels logit",3,"difficult",10,1000
11,0.0167343616485596,"alpaca logit",3,"difficult",10,1000
11,0.0158627033233643,"fixest logit",3,"difficult",10,1000
2,0.024540901184082,"GLFixedEffectModels logit",2,"difficult",10,10000
2,0.0765237808227539,"alpaca logit",2,"difficult",10,10000
2,0.0480415821075439,"fixest logit",2,"difficult",10,10000
2,0.0686018466949463,"GLFixedEffectModels logit",3,"difficult",10,10000
2,0.447763919830322,"alpaca logit",3,"difficult",10,10000
2,0.0654149055480957,"fixest logit",3,"difficult",10,10000
3,0.0248041152954102,"GLFixedEffectModels logit",2,"difficult",10,10000
3,0.0749828815460205,"alpaca logit",2,"difficult",10,10000
3,0.0479404926300049,"fixest logit",2,"difficult",10,10000
3,0.0697720050811768,"GLFixedEffectModels logit",3,"difficult",10,10000
3,0.510901927947998,"alpaca logit",3,"difficult",10,10000
3,0.0624184608459473,"fixest logit",3,"difficult",10,10000
4,0.0245110988616943,"GLFixedEffectModels logit",2,"difficult",10,10000
4,0.0822153091430664,"alpaca logit",2,"difficult",10,10000
4,0.0565216541290283,"fixest logit",2,"difficult",10,10000
4,0.0638148784637451,"GLFixedEffectModels logit",3,"difficult",10,10000
4,0.461246013641357,"alpaca logit",3,"difficult",10,10000
4,0.0590367317199707,"fixest logit",3,"difficult",10,10000
5,0.0245749950408936,"GLFixedEffectModels logit",2,"difficult",10,10000
5,0.0800654888153076,"alpaca logit",2,"difficult",10,10000
5,0.0526704788208008,"fixest logit",2,"difficult",10,10000
5,0.0706210136413574,"GLFixedEffectModels logit",3,"difficult",10,10000
5,0.553574562072754,"alpaca logit",3,"difficult",10,10000
5,0.0693252086639404,"fixest logit",3,"difficult",10,10000
6,0.025601863861084,"GLFixedEffectModels logit",2,"difficult",10,10000
6,0.0711295604705811,"alpaca logit",2,"difficult",10,10000
6,0.054135799407959,"fixest logit",2,"difficult",10,10000
6,0.0657620429992676,"GLFixedEffectModels logit",3,"difficult",10,10000
6,0.448186635971069,"alpaca logit",3,"difficult",10,10000
6,0.0820152759552002,"fixest logit",3,"difficult",10,10000
7,0.0242531299591064,"GLFixedEffectModels logit",2,"difficult",10,10000
7,0.0763731002807617,"alpaca logit",2,"difficult",10,10000
